cpr1 50,cpr1 100,cpr1 50,cpr1 100
0,0,-0.000682728,0.007042866
0,0,-0.000677633,0.007023819
0,0,-0.000672576,0.007004832
0,0,-0.000667557,0.006985904
0,0,-0.000662576,0.006967037
0,0,-0.000657632,0.006948229
0,0,-0.000652726,0.00692948
0,0,-0.000647858,0.006910791
0,0,-0.000643027,0.006892162
0,0,-0.000638233,0.006873592
0,0,-0.000633476,0.006855081
0,0,-0.000628757,0.00683663
0,0,-0.000624074,0.006818239
0,0,-0.000619428,0.006799906
0,0,-0.000614819,0.006781633
0,0,-0.000610247,0.006763419
0,0,-0.000605711,0.006745265
0,0,-0.000601211,0.006727169
0,0,-0.000596748,0.006709133
0,0,-0.000592321,0.006691155
0,0,-0.00058793,0.006673237
0,0,-0.000583575,0.006655378
0,0,-0.000579256,0.006637577
0,0,-0.000574973,0.006619836
0,0,-0.000570725,0.006602153
0,0,-0.000566513,0.006584529
0,0,-0.000562337,0.006566964
0,0,-0.000558195,0.006549458
0,0,-0.000554089,0.006532011
0,0,-0.000550019,0.006514622
0,0,-0.000545983,0.006497291
0,0,-0.000541982,0.00648002
0,0,-0.000538016,0.006462806
0,0,-0.000534084,0.006445652
0,0,-0.000530188,0.006428556
0,0,-0.000526325,0.006411518
0,0,-0.000522497,0.006394538
0,0,-0.000518704,0.006377617
0,0,-0.000514944,0.006360755
0,0,-0.000511219,0.00634395
0,0,-0.000507528,0.006327204
0,0,-0.00050387,0.006310516
0,0,-0.000500247,0.006293886
0,0,-0.000496657,0.006277314
0,0,-0.0004931,0.0062608
0,0,-0.000489577,0.006244344
0,0,-0.000486087,0.006227946
0,0,-0.000482631,0.006211606
0,0,-0.000479208,0.006195325
0,0,-0.000475818,0.0061791
0,0,-0.00047246,0.006162934
0,0,-0.000469136,0.006146826
0,0,-0.000465844,0.006130775
0,0,-0.000462585,0.006114782
0,0,-0.000459358,0.006098846
0,0,-0.000456164,0.006082968
0,0,-0.000453002,0.006067148
0,0,-0.000449873,0.006051385
0,0,-0.000446775,0.00603568
0,0,-0.00044371,0.006020032
0,0,-0.000440676,0.006004442
0,0,-0.000437674,0.005988909
0,0,-0.000434704,0.005973434
0,0,-0.000431766,0.005958015
0,0,-0.000428859,0.005942654
0,0,-0.000425983,0.00592735
0,0,-0.000423139,0.005912104
0,0,-0.000420326,0.005896914
0,0,-0.000417544,0.005881782
0,0,-0.000414793,0.005866707
0,0,-0.000412073,0.005851688
0,0,-0.000409384,0.005836727
0,0,-0.000406725,0.005821823
0,0,-0.000404097,0.005806975
0,0,-0.0004015,0.005792185
0,0,-0.000398932,0.005777451
0,0,-0.000396396,0.005762774
0,0,-0.000393889,0.005748154
0,0,-0.000391412,0.00573359
0,0,-0.000388966,0.005719083
