R2all,d2,k2,k3
0.862251207,2.275590245,0.00052511,0.000249287
0.86225079,1.708914968,0.000372263,0.000296278
0.862022239,2.648339581,0.000204904,0.000834642
0.86197702,2.281014511,0.000433461,0.00033986
0.861958447,8.097588731,0.000353794,0.001315528
0.861935916,11.20142005,0.00021966,0.003293821
0.861843498,21.06563235,0.000792775,0.001716722
0.861787558,4.262093127,0.000481116,0.0005724
0.861717958,22.12305232,0.000232997,0.006136207
0.861605055,2.27326951,0.000101356,0.001287953
0.861378076,14.51542389,0.000999425,0.000833489
0.861324773,2.204737229,0.000907089,0.000157217
0.861053285,3.162855863,0.000357479,0.000572664
0.860982845,13.23730992,0.000141922,0.006038096
0.860936531,1.487995503,0.000609326,0.000139991
0.860880826,4.273705895,0.000260946,0.001060474
0.86074084,2.135363898,0.000148166,0.000933469
0.860670795,10.92672714,0.000222561,0.003180534
0.860655093,1.64057088,0.000215353,0.000493515
0.860420753,10.36208157,0.000160639,0.004181191
0.86016739,8.04269266,0.000563184,0.00092619
0.860101575,3.855208384,0.000576169,0.000382737
0.860019674,2.02708491,0.000994604,0.000132221
0.859913434,2.292681518,0.000290569,0.000451128
0.859825637,3.023997308,0.000132908,0.001476726
0.859812904,5.102260748,0.000179122,0.001848843
0.859655383,5.536222797,0.000514458,0.000698715
0.859629684,7.65046426,0.000498942,0.000995635
0.859418077,5.433621622,0.000856347,0.000412192
0.859245456,2.036760249,0.000147656,0.000896396
0.859216794,8.918790431,0.000329344,0.00154561
0.859127735,29.04121264,0.000408743,0.00461849
0.859127208,3.772196274,0.000117179,0.001836961
0.85909349,1.08745436,0.000325424,0.00021722
0.859087264,2.56762661,0.000147079,0.000996093
0.85869529,4.710318779,0.00070445,0.000381154
0.858640033,12.92147751,0.000132449,0.005560323
0.858538397,1.490021267,0.000204385,0.000415432
0.858415451,6.373329606,0.00018804,0.00220648
0.858378158,12.97432347,0.000817617,0.000903858
0.858328706,11.01628566,0.000605132,0.001036812
0.858301224,18.05763654,0.000203166,0.00578762
0.858131241,4.551257159,0.000832434,0.000311243
0.858111814,15.72858974,0.000131235,0.007807284
0.858067126,10.51116651,0.000871465,0.000785778
0.85801482,1.28685182,0.000239139,0.000306267
0.857785259,2.713994382,0.000182831,0.000967609
0.857778687,1.111385215,0.000252552,0.000250323
0.857777396,19.77425111,0.000867261,0.001296881
0.857690747,1.623916277,0.000451804,0.000204409
0.857690732,14.82476694,0.000242857,0.003471363
0.857572587,18.61261039,0.000413476,0.002559175
0.857435143,22.46425871,0.000240243,0.006099581
0.857364023,2.240264544,0.000282455,0.000450713
0.857166615,2.352717872,0.000139621,0.001099765
0.857097575,13.34126823,0.000130752,0.006660395
0.857044023,6.432126938,0.000119798,0.003505097
0.856999036,1.10648201,0.000317285,0.000198016
0.856978272,8.048165478,0.000158946,0.003305978
0.856966588,1.194481934,0.000140362,0.00048317
0.856953331,23.37622672,0.000233642,0.00653281
0.856932163,3.364829072,0.000747395,0.000293968
0.856736582,17.85001951,0.000218902,0.004627005
0.856601472,1.23706903,0.000704774,0.000114683
0.856437604,4.357367833,0.000360537,0.00068533
0.856391497,12.38784813,0.000180572,0.004484355
0.856170248,21.32515207,0.000535982,0.002254758
0.85614129,8.303982263,0.000346857,0.001565669
0.856043714,1.334092757,0.000477035,0.000158453
0.855829886,2.205487231,0.000253659,0.00049238
0.855708218,1.735862062,0.000702991,0.000139798
0.855473372,23.42397972,0.000656825,0.002017902
0.855384181,9.697128309,0.000820257,0.000668806
0.855198615,17.8986548,0.000203493,0.004973934
0.854620693,13.51022135,0.000161529,0.004723892
0.854560533,2.694678701,0.000206467,0.000737055
0.853900995,3.142482518,0.000260825,0.000791225
0.85388587,2.134637742,0.000255652,0.000470869
0.85385908,7.736816398,0.000303424,0.001437805
0.85372453,8.001764973,0.000182705,0.00246888
0.853610038,1.179945502,0.000333235,0.000199572
0.853357849,13.29596902,0.000595868,0.001256898
0.85324592,22.19842529,0.000726524,0.00172068
0.853121614,10.69872307,0.000440707,0.001366784
0.853121526,1.561624955,0.00051886,0.000197925
0.852769393,13.05843862,0.000437774,0.001962908
0.852715721,3.021940965,0.000232782,0.000730298
0.852604353,24.54128193,0.000144162,0.009574145
0.852598842,1.250181334,0.000471574,0.000149108
0.85255683,16.32819274,0.000441215,0.002081134
0.852379341,19.06754796,0.000236946,0.004523765
0.852126325,1.237910819,0.000172127,0.00040411
0.852026704,9.468982051,0.000468759,0.001134749
0.851816254,2.850227266,0.000132419,0.001208648
0.851792008,8.403425172,0.000278965,0.001985638
0.851744431,1.864381384,0.000502054,0.000208497
0.851697126,3.530127711,0.000369105,0.000630522
0.851585311,2.607227412,0.000442028,0.000331055
0.851471774,3.840811775,0.000256301,0.000988325
0.851412483,11.42458377,0.00041262,0.00155346
0.851353,1.402966887,0.000345661,0.000267732
0.8513218,2.966945175,0.000447044,0.000372306
0.851282598,28.23284477,0.000331551,0.004776392
0.851275907,1.007682051,0.000330027,0.000171277
0.851124244,22.39559901,0.000371664,0.003976491
0.851010604,4.384126141,0.000138373,0.001776233
0.850860526,5.579701144,0.0008288,0.000377311
0.850809614,10.77541241,0.000803619,0.000885319
0.85074279,2.990245876,0.000541315,0.000309528
0.850407159,20.36119615,0.000422328,0.002699604
0.849783728,1.152968719,0.000157308,0.00048473
0.849704223,26.24197596,0.000473642,0.003098133
0.849533612,2.666416044,0.000357973,0.000492833
0.84943003,6.110124728,0.000405182,0.00099793
0.849243478,8.837262021,0.000368002,0.001589644
0.848854298,1.699640455,0.000277939,0.000405042
0.848785865,9.971386182,0.000770282,0.000722603
0.848522381,11.79975632,0.000352006,0.001870251
0.848448409,2.769006401,0.000446632,0.00034586
0.848031082,6.962601381,0.000340761,0.001138938
0.847838057,1.122019887,0.000534995,0.000116869
0.847643803,12.03893456,0.000129405,0.005182031
0.847421983,1.792866132,0.000104604,0.000954333
0.84736667,12.82951448,0.00032505,0.002197354
0.847352597,6.139288543,0.000552141,0.000619013
0.847188563,1.683531009,0.000637602,0.000175348
0.847172929,12.07995107,0.000625821,0.001074237
0.847160319,7.118243169,0.000486799,0.000813767
0.846902689,8.323776255,0.000126897,0.004358128
0.846827527,11.37805008,0.000404622,0.00186853
0.84631309,13.24181295,0.00045504,0.001616963
0.846168234,1.141652345,0.000114696,0.000552968
0.845944692,3.718693396,0.000364041,0.000679673
0.84569614,12.99640636,0.000310277,0.002788046
0.845658258,13.43689955,0.000735953,0.001215346
0.84557662,4.59324491,0.000233695,0.001090687
0.845570363,24.20143108,0.000436767,0.003688926
0.845467865,3.823866898,0.000776158,0.000273338
0.845305412,1.072030471,0.000195952,0.000303459
0.845215851,2.433287091,0.000461583,0.000292348
0.845210858,5.071119339,0.000891148,0.000315573
0.844991456,4.263542995,0.00010883,0.002610358
0.844607394,7.334516452,0.00028837,0.001408964
0.844357102,2.750234446,0.000197492,0.000928753
0.84435026,6.377666472,0.00019772,0.002151295
0.844080022,1.816188511,0.000160306,0.000627047
0.843983161,2.472497277,0.000187824,0.000878416
0.843953229,8.261724925,0.000600551,0.000761202
0.84341886,16.85292725,0.000101847,0.009147449
0.843210935,4.506586625,0.000650354,0.000462914
0.843182439,14.09699287,0.000130632,0.007209415
0.843094774,10.24642832,0.0003865,0.001771332
0.84303304,14.60953029,0.000107709,0.009063585
0.842877584,1.180748421,0.000234774,0.000277779
0.842758264,2.897141268,0.00093616,0.000206871
0.842727617,12.95668418,0.000300642,0.002379578
0.842674703,4.689537813,0.000190656,0.001358001
0.842606391,1.210843656,0.000180697,0.000448023
0.842462975,15.86290004,0.00021565,0.004919263
0.842184491,8.026296525,0.000195277,0.002749793
0.842121652,13.54703215,0.000802694,0.000930894
0.841961499,24.48292261,0.000748945,0.001802603
0.84171378,16.23405497,0.000240132,0.004525848
0.841645387,1.072759956,0.000717712,0.000100069
0.841635847,2.36314358,0.00075692,0.000172068
0.841533465,1.797751088,0.000161232,0.000746621
0.841527051,21.10148701,0.000227326,0.006215842
0.84075486,1.118971068,0.000210063,0.000293157
0.840611619,11.15959028,0.000203728,0.0030137
0.840608756,17.42413127,0.000356739,0.0026872
0.840561171,3.616412638,0.000167977,0.001184404
0.84001366,1.19488827,0.000111365,0.000719946
0.839565372,7.193692936,0.000854771,0.000565067
0.8394375,11.96952587,0.000615248,0.001306472
0.838840204,29.6298711,0.000595731,0.00334272
0.838836716,1.392508177,0.000358055,0.000213354
0.83861693,4.338144015,0.000990718,0.000294374
0.838362522,1.870097144,0.000126663,0.000992887
0.837835857,10.56133663,0.000727361,0.000795243
0.837732427,11.41293254,0.000402115,0.001910293
0.83766531,5.396785412,0.000495279,0.000596623
0.837420278,1.548929494,0.000484563,0.000215229
0.837194376,14.59463093,0.000825373,0.001190968
0.836586133,7.354500538,0.000411102,0.001205869
0.836511965,3.677188323,0.000188257,0.00131674
0.836329606,3.732632266,0.000110294,0.002281918
0.836070419,3.330670296,0.000671661,0.000270832
0.836011911,12.2370923,0.000648112,0.001031098
0.835884329,1.539475675,0.000113697,0.000913482
0.835658154,1.027757906,0.000452116,0.000124079
0.835623676,9.876875896,0.000159129,0.0041889
0.83556564,19.52032231,0.00019909,0.006617592
0.835501749,14.46613793,0.000171771,0.005684601
0.835323353,1.046096759,0.000136663,0.000516773
0.835172878,25.84339037,0.00095929,0.001469265
0.835092705,1.007339377,0.000172167,0.00031908
0.835036819,3.667196449,0.000212251,0.000942106
0.834939737,9.133680338,0.000295903,0.002084971
0.834762942,9.028666175,0.000735106,0.000669422
0.834635287,22.90401836,0.00049289,0.002532212
0.834332536,4.953494605,0.000144861,0.001862516
0.834279478,15.35854009,0.000243641,0.003433207
0.834112508,1.15375328,0.000603462,0.000129271
0.834102677,3.467062532,0.000601797,0.00031369
0.834100545,4.081910657,0.000282195,0.00078759
0.834085717,2.097929382,0.000230967,0.000614186
0.833994211,25.11549078,0.000198039,0.006903988
0.833935154,29.85241215,0.00020172,0.008055639
0.833916556,2.800260664,0.000247201,0.000766126
0.833488159,6.007094574,0.000152598,0.00266379
0.833323267,2.316194862,0.000995749,0.000126503
0.833309218,17.83181537,0.000379446,0.002555642
0.833293006,9.044033376,0.000134695,0.004544645
0.833273929,4.119568439,0.000152985,0.001822636
0.832742189,1.601972844,0.000140298,0.00062044
0.832728928,5.374803662,0.000834161,0.000436415
0.83267946,11.38966571,0.000256833,0.002409351
0.832576526,3.892098272,0.000441316,0.000597448
0.832548931,1.296516977,0.000182789,0.000480507
0.832481159,1.980740201,0.00059354,0.000181259
0.83243353,1.884142881,0.00026215,0.000486968
0.832164493,4.427582812,0.000683203,0.000439238
0.831869954,3.465883516,0.000368935,0.000636942
0.831759077,27.61552806,0.000189824,0.009865066
0.831703999,14.96662283,0.000114222,0.008885871
0.831673065,12.43851167,0.000408931,0.001650061
0.831224676,3.657231724,0.000111982,0.001770517
0.830649804,7.718418201,0.000118127,0.003539158
0.830485478,2.86285761,0.000158873,0.001223771
0.830459764,13.73259609,0.000536105,0.001387075
0.830317137,1.684676603,0.000619512,0.000184714
0.830314772,1.94999168,0.000216396,0.000487865
0.830243975,4.45628772,0.000105913,0.002858249
0.830018885,29.3789966,0.000269681,0.00589522
0.829937714,1.981414005,0.000208233,0.000514873
0.829466539,4.01035173,0.000380058,0.000570558
0.829412399,10.43635783,0.000479678,0.001479449
0.829316852,22.49484166,0.000151443,0.008029713
0.829180741,13.67201068,0.000384548,0.002418243
0.829077039,7.213293325,0.000401375,0.000971181
0.828225225,1.673255657,0.000981635,0.000116065
0.828118602,2.07733823,0.000140848,0.001004384
0.828105675,10.52189715,0.000130002,0.005511883
0.827954624,19.07403432,0.000752575,0.001367414
0.827945238,2.07310329,0.000384902,0.00036686
0.82787435,19.35504481,0.000116856,0.008935112
