chz1 100,chz1 100
0.009304703,1.62E-05
0.009312538,1.67E-05
0.009320382,1.73E-05
0.009328235,1.79E-05
0.009336095,1.85E-05
0.009343965,1.91E-05
0.009351842,1.98E-05
0.009359728,2.04E-05
0.009367622,2.11E-05
0.009375524,2.18E-05
0.009383435,2.25E-05
0.009391355,2.32E-05
0.009399283,2.39E-05
0.009407219,2.46E-05
0.009415164,2.54E-05
0.009423117,2.61E-05
0.009431079,2.69E-05
0.009439049,2.77E-05
0.009447027,2.85E-05
0.009455015,2.94E-05
0.00946301,3.02E-05
0.009471014,3.11E-05
0.009479027,3.20E-05
0.009487049,3.28E-05
0.009495078,3.38E-05
0.009503117,3.47E-05
0.009511164,3.56E-05
0.00951922,3.66E-05
0.009527284,3.75E-05
0.009535357,3.85E-05
0.009543438,3.95E-05
0.009551528,4.06E-05
0.009559627,4.16E-05
0.009567735,4.27E-05
0.009575851,4.37E-05
0.009583976,4.48E-05
0.009592109,4.59E-05
0.009600251,4.70E-05
0.009608402,4.82E-05
0.009616562,4.93E-05
0.009624731,5.05E-05
0.009632908,5.17E-05
0.009641094,5.29E-05
0.009649289,5.41E-05
0.009657492,5.53E-05
0.009665704,5.66E-05
0.009673926,5.79E-05
0.009682156,5.92E-05
0.009690394,6.05E-05
0.009698642,6.18E-05
0.009706899,6.31E-05
0.009715164,6.45E-05
0.009723438,6.59E-05
0.009731721,6.73E-05
0.009740013,6.87E-05
0.009748314,7.01E-05
0.009756624,7.16E-05
0.009764943,7.30E-05
0.00977327,7.45E-05
0.009781607,7.61E-05
0.009789953,7.76E-05
0.009798307,7.91E-05
0.009806671,8.07E-05
0.009815043,8.23E-05
0.009823425,8.39E-05
0.009831816,8.56E-05
0.009840215,8.72E-05
0.009848624,8.89E-05
0.009857041,9.06E-05
0.009865468,9.23E-05
0.009873904,9.40E-05
0.009882349,9.58E-05
0.009890803,9.76E-05
0.009899266,9.94E-05
0.009907738,0.000101176
0.009916219,0.000103017
0.009924709,0.000104879
0.009933209,0.000106762
0.009941718,0.000108666
0.009950235,0.000110591
0.009958762,0.000112538
0.009967299,0.000114506
0.009975844,0.000116495
0.009984398,0.000118506
0.009992962,0.000120537
0.010001535,0.00012259
0.010010117,0.000124665
0.010018709,0.000126761
0.010027309,0.000128878
0.010035919,0.000131016
0.010044538,0.000133175
0.010053167,0.000135356
0.010061805,0.000137558
0.010070452,0.000139781
0.010079108,0.000142025
0.010087774,0.00014429
0.010096449,0.000146577
0.010105133,0.000148884
0.010113827,0.000151212
0.01012253,0.000153562
0.010131242,0.000155932
0.010139964,0.000158324
0.010148695,0.000160737
0.010157435,0.000163171
0.010166185,0.000165627
0.010174945,0.000168105
0.010183713,0.000170604
0.010192492,0.000173125
0.010201279,0.000175668
0.010210076,0.000178233
0.010218883,0.00018082
0.010227699,0.000183429
0.010236524,0.000186061
0.010245359,0.000188716
0.010254204,0.000191393
0.010263058,0.000194093
0.010271921,0.000196816
0.010280794,0.000199562
0.010289677,0.000202332
0.010298569,0.000205124
0.010307471,0.00020794
0.010316382,0.000210779
0.010325303,0.000213642
0.010334233,0.000216528
0.010343173,0.000219438
0.010352123,0.000222372
0.010361082,0.00022533
0.010370051,0.000228311
0.010379029,0.000231317
0.010388017,0.000234346
0.010397015,0.0002374
0.010406022,0.000240477
0.010415039,0.000243579
0.010424066,0.000246704
0.010433102,0.000249854
0.010442148,0.000253028
0.010451204,0.000256226
0.01046027,0.000259449
0.010469345,0.000262695
0.01047843,0.000265966
0.010487524,0.00026926
0.010496629,0.000272579
0.010505743,0.000275922
0.010514867,0.000279289
0.010524001,0.00028268
0.010533144,0.000286095
0.010542298,0.000289534
0.010551461,0.000292997
0.010560634,0.000296484
0.010569816,0.000299994
0.010579009,0.000303529
0.010588211,0.000307087
0.010597423,0.000310669
0.010606645,0.000314274
0.010615877,0.000317903
0.010625119,0.000321555
0.010634371,0.000325231
0.010643632,0.00032893
0.010652904,0.000332652
0.010662185,0.000336398
0.010671476,0.000340167
0.010680778,0.000343959
0.010690089,0.000347775
0.01069941,0.000351614
0.010708741,0.000355477
0.010718082,0.000359364
0.010727433,0.000363274
0.010736794,0.000367208
0.010746164,0.000371166
0.010755545,0.000375148
0.010764936,0.000379154
0.010774337,0.000383184
0.010783748,0.000387239
0.010793169,0.000391318
0.0108026,0.000395422
0.010812041,0.00039955
0.010821492,0.000403703
0.010830953,0.00040788
0.010840424,0.000412083
0.010849905,0.00041631
0.010859396,0.000420562
0.010868898,0.000424839
0.010878409,0.000429142
0.010887931,0.00043347
0.010897462,0.000437822
0.010907004,0.000442201
0.010916556,0.000446604
0.010926118,0.000451033
0.01093569,0.000455487
0.010945273,0.000459966
0.010954865,0.000464471
0.010964468,0.000469002
0.010974081,0.000473557
0.010983704,0.000478139
0.010993337,0.000482745
0.01100298,0.000487377
0.011012634,0.000492035
0.011022298,0.000496717
0.011031972,0.000501426
0.011041656,0.000506159
0.011051351,0.000510918
0.011061056,0.000515702
0.011070771,0.000520511
0.011080496,0.000525346
0.011090232,0.000530205
0.011099977,0.00053509
0.011109734,0.00054
0.0111195,0.000544934
0.011129277,0.000549894
0.011139064,0.000554878
0.011148861,0.000559887
0.011158669,0.00056492
0.011168487,0.000569979
0.011178315,0.000575061
0.011188154,0.000580168
0.011198003,0.0005853
0.011207862,0.000590455
0.011217732,0.000595635
0.011227612,0.000600839
0.011237503,0.000606067
0.011247404,0.000611319
0.011257315,0.000616595
0.011267237,0.000621896
0.011277169,0.00062722
0.011287112,0.000632569
0.011297065,0.000637942
0.011307028,0.00064334
