VP16 50,VP16 100,VP16 50,VP16 100
0,0,-0.005055531,-0.00397921
0,0,-0.005068634,-0.003989625
0,0,-0.005081659,-0.00399998
0,0,-0.005094604,-0.004010274
0,0,-0.00510747,-0.004020507
0,0,-0.005120258,-0.00403068
0,0,-0.005132967,-0.004040792
0,0,-0.005145597,-0.004050843
0,0,-0.005158148,-0.004060834
0,0,-0.005170621,-0.004070764
0,0,-0.005183016,-0.004080634
0,0,-0.005195332,-0.004090443
0,0,-0.00520757,-0.004100192
0,0,-0.00521973,-0.004109881
0,0,-0.005231813,-0.00411951
0,0,-0.005243817,-0.004129079
0,0,-0.005255743,-0.004138588
0,0,-0.005267592,-0.004148036
0,0,-0.005279363,-0.004157425
0,0,-0.005291057,-0.004166754
0,0,-0.005302673,-0.004176024
0,0,-0.005314212,-0.004185233
0,0,-0.005325674,-0.004194383
0,0,-0.005337059,-0.004203474
0,0,-0.005348366,-0.004212504
0,0,-0.005359597,-0.004221476
0,0,-0.005370751,-0.004230388
0,0,-0.005381828,-0.00423924
0,0,-0.005392829,-0.004248034
0,0,-0.005403753,-0.004256768
0,0,-0.0054146,-0.004265443
0,0,-0.005425372,-0.004274059
0,0,-0.005436067,-0.004282616
0,0,-0.005446686,-0.004291113
0,0,-0.005457228,-0.004299552
0,0,-0.005467695,-0.004307933
0,0,-0.005478086,-0.004316254
0,0,-0.005488401,-0.004324517
0,0,-0.005498641,-0.004332721
0,0,-0.005508805,-0.004340866
0,0,-0.005518893,-0.004348953
0,0,-0.005528906,-0.004356981
0,0,-0.005538844,-0.004364951
0,0,-0.005548707,-0.004372863
0,0,-0.005558494,-0.004380716
0,0,-0.005568207,-0.004388512
0,0,-0.005577844,-0.004396248
0,0,-0.005587407,-0.004403927
0,0,-0.005596895,-0.004411548
0,0,-0.005606308,-0.004419111
0,0,-0.005615647,-0.004426616
0,0,-0.005624911,-0.004434063
0,0,-0.005634101,-0.004441452
0,0,-0.005643217,-0.004448783
0,0,-0.005652259,-0.004456057
0,0,-0.005661226,-0.004463273
0,0,-0.005670119,-0.004470432
0,0,-0.005678939,-0.004477533
0,0,-0.005687685,-0.004484576
0,0,-0.005696357,-0.004491563
0,0,-0.005704955,-0.004498492
0,0,-0.00571348,-0.004505363
0,0,-0.005721931,-0.004512177
0,0,-0.00573031,-0.004518935
0,0,-0.005738614,-0.004525635
0,0,-0.005746846,-0.004532278
0,0,-0.005755005,-0.004538864
0,0,-0.00576309,-0.004545393
0,0,-0.005771103,-0.004551866
0,0,-0.005779043,-0.004558281
0,0,-0.00578691,-0.00456464
0,0,-0.005794705,-0.004570942
0,0,-0.005802427,-0.004577188
0,0,-0.005810076,-0.004583376
0,0,-0.005817654,-0.004589509
0,0,-0.005825159,-0.004595585
0,0,-0.005832592,-0.004601604
0,0,-0.005839952,-0.004607568
0,0,-0.005847241,-0.004613475
0,0,-0.005854458,-0.004619325
0,0,-0.005861603,-0.00462512
0,0,-0.005868677,-0.004630859
0,0,-0.005875678,-0.004636541
0,0,-0.005882609,-0.004642167
0,0,-0.005889467,-0.004647738
0,0,-0.005896255,-0.004653253
0,0,-0.005902971,-0.004658712
0,0,-0.005909616,-0.004664115
0,0,-0.00591619,-0.004669462
0,0,-0.005922693,-0.004674754
0,0,-0.005929125,-0.00467999
0,0,-0.005935486,-0.004685171
0,0,-0.005941776,-0.004690296
0,0,-0.005947996,-0.004695365
0,0,-0.005954145,-0.00470038
0,0,-0.005960224,-0.004705339
0,0,-0.005966232,-0.004710243
0,0,-0.005972171,-0.004715092
0,0,-0.005978038,-0.004719885
0,0,-0.005983836,-0.004724624
0,0,-0.005989564,-0.004729307
0,0,-0.005995222,-0.004733935
0,0,-0.006000809,-0.004738509
0,0,-0.006006328,-0.004743028
0,0,-0.006011776,-0.004747492
0,0,-0.006017155,-0.004751901
0,0,-0.006022464,-0.004756255
0,0,-0.006027704,-0.004760555
0,0,-0.006032875,-0.004764801
0,0,-0.006037976,-0.004768991
0,0,-0.006043008,-0.004773128
0,0,-0.006047971,-0.00477721
0,0,-0.006052865,-0.004781237
0,0,-0.006057691,-0.004785211
0,0,-0.006062447,-0.00478913
0,0,-0.006067135,-0.004792995
0,0,-0.006071754,-0.004796805
0,0,-0.006076304,-0.004800562
0,0,-0.006080786,-0.004804265
0,0,-0.0060852,-0.004807913
0,0,-0.006089545,-0.004811508
0,0,-0.006093822,-0.004815049
0,0,-0.006098031,-0.004818536
0,0,-0.006102172,-0.00482197
0,0,-0.006106245,-0.004825349
0,0,-0.00611025,-0.004828676
0,0,-0.006114187,-0.004831948
0,0,-0.006118056,-0.004835167
0,0,-0.006121858,-0.004838333
0,0,-0.006125593,-0.004841445
0,0,-0.00612926,-0.004844503
0,0,-0.006132859,-0.004847509
0,0,-0.006136391,-0.004850461
0,0,-0.006139856,-0.00485336
0,0,-0.006143254,-0.004856206
0,0,-0.006146585,-0.004858998
0,0,-0.006149849,-0.004861738
