chz1 50,chz1 100
0.000260699,0.004722871
0.000262266,0.004729457
0.00026384,0.004736037
0.000265421,0.004742608
0.000267008,0.004749173
0.000268602,0.004755729
0.000270202,0.004762279
0.000271809,0.004768821
0.000273423,0.004775356
0.000275044,0.004781883
0.000276671,0.004788403
0.000278305,0.004794916
0.000279946,0.004801422
0.000281593,0.00480792
0.000283247,0.004814412
0.000284908,0.004820896
0.000286576,0.004827373
0.00028825,0.004833843
0.000289931,0.004840306
0.000291619,0.004846763
0.000293314,0.004853212
0.000295016,0.004859654
0.000296724,0.00486609
0.000298439,0.004872518
0.000300161,0.00487894
0.000301889,0.004885355
0.000303625,0.004891763
0.000305367,0.004898165
0.000307117,0.00490456
0.000308873,0.004910948
0.000310635,0.00491733
0.000312405,0.004923705
0.000314182,0.004930074
0.000315965,0.004936436
0.000317756,0.004942791
0.000319553,0.00494914
0.000321357,0.004955483
0.000323168,0.004961819
0.000324986,0.004968149
0.000326811,0.004974473
0.000328643,0.00498079
0.000330481,0.004987101
0.000332327,0.004993406
0.00033418,0.004999704
0.000336039,0.005005997
0.000337906,0.005012283
0.000339779,0.005018563
0.00034166,0.005024838
0.000343547,0.005031106
0.000345442,0.005037368
0.000347343,0.005043624
0.000349252,0.005049874
0.000351167,0.005056118
0.00035309,0.005062357
0.000355019,0.00506859
0.000356956,0.005074816
0.0003589,0.005081037
0.00036085,0.005087253
0.000362808,0.005093462
0.000364773,0.005099666
0.000366745,0.005105864
0.000368724,0.005112057
0.00037071,0.005118244
0.000372703,0.005124425
0.000374703,0.005130601
0.00037671,0.005136771
0.000378725,0.005142936
0.000380746,0.005149096
0.000382775,0.00515525
0.00038481,0.005161398
0.000386853,0.005167542
0.000388903,0.00517368
0.000390961,0.005179813
0.000393025,0.00518594
0.000395097,0.005192062
0.000397175,0.00519818
0.000399261,0.005204291
0.000401354,0.005210398
0.000403455,0.0052165
0.000405562,0.005222597
0.000407677,0.005228688
0.000409799,0.005234775
0.000411928,0.005240856
0.000414064,0.005246933
0.000416208,0.005253005
0.000418358,0.005259072
0.000420516,0.005265134
0.000422682,0.005271191
0.000424854,0.005277244
0.000427034,0.005283291
0.000429221,0.005289334
0.000431416,0.005295372
0.000433617,0.005301406
0.000435826,0.005307435
0.000438043,0.005313459
0.000440266,0.005319479
0.000442497,0.005325494
0.000444735,0.005331505
0.000446981,0.005337511
0.000449234,0.005343513
0.000451494,0.00534951
0.000453761,0.005355503
0.000456036,0.005361491
0.000458318,0.005367475
0.000460608,0.005373455
0.000462905,0.005379431
0.000465209,0.005385402
0.000467521,0.005391369
0.00046984,0.005397332
0.000472167,0.005403291
0.000474501,0.005409245
0.000476842,0.005415196
0.000479191,0.005421142
0.000481547,0.005427085
0.00048391,0.005433023
0.000486281,0.005438957
0.00048866,0.005444888
0.000491046,0.005450814
0.000493439,0.005456737
0.00049584,0.005462656
0.000498248,0.005468571
0.000500664,0.005474482
0.000503087,0.005480389
0.000505518,0.005486292
0.000507956,0.005492192
0.000510402,0.005498088
0.000512855,0.005503981
0.000515315,0.00550987
0.000517784,0.005515755
0.000520259,0.005521637
0.000522743,0.005527515
0.000525233,0.005533389
0.000527732,0.00553926
0.000530237,0.005545128
0.000532751,0.005550992
0.000535272,0.005556853
0.0005378,0.00556271
0.000540336,0.005568564
0.00054288,0.005574415
0.000545431,0.005580262
0.00054799,0.005586107
0.000550556,0.005591947
0.00055313,0.005597785
0.000555712,0.00560362
0.000558301,0.005609451
0.000560898,0.005615279
0.000563502,0.005621105
0.000566114,0.005626927
0.000568734,0.005632746
0.000571361,0.005638562
0.000573996,0.005644375
0.000576639,0.005650185
0.000579289,0.005655992
0.000581947,0.005661797
0.000584612,0.005667598
0.000587286,0.005673397
0.000589966,0.005679192
0.000592655,0.005684985
0.000595351,0.005690776
0.000598055,0.005696563
0.000600767,0.005702348
0.000603486,0.00570813
0.000606213,0.00571391
0.000608948,0.005719686
0.000611691,0.005725461
0.000614441,0.005731232
0.000617199,0.005737002
0.000619964,0.005742768
0.000622738,0.005748533
0.000625519,0.005754294
0.000628308,0.005760054
0.000631105,0.005765811
0.000633909,0.005771565
0.000636721,0.005777317
0.000639541,0.005783067
0.000642369,0.005788815
0.000645204,0.00579456
0.000648048,0.005800303
0.000650899,0.005806044
0.000653758,0.005811783
0.000656625,0.00581752
0.000659499,0.005823254
0.000662382,0.005828986
0.000665272,0.005834717
0.00066817,0.005840445
0.000671076,0.005846171
0.000673989,0.005851895
0.000676911,0.005857618
0.00067984,0.005863338
0.000682777,0.005869056
0.000685722,0.005874773
0.000688675,0.005880488
0.000691636,0.0058862
0.000694605,0.005891911
0.000697581,0.005897621
0.000700566,0.005903328
0.000703558,0.005909034
0.000706558,0.005914738
0.000709567,0.005920441
0.000712583,0.005926141
0.000715607,0.005931841
0.000718638,0.005937538
0.000721678,0.005943234
0.000724726,0.005948929
0.000727782,0.005954622
0.000730845,0.005960313
0.000733917,0.005966003
0.000736996,0.005971692
0.000740083,0.005977379
0.000743179,0.005983065
0.000746282,0.005988749
0.000749393,0.005994432
0.000752513,0.006000114
0.00075564,0.006005794
0.000758775,0.006011474
0.000761918,0.006017152
0.000765069,0.006022829
0.000768229,0.006028504
0.000771396,0.006034179
0.000774571,0.006039852
0.000777754,0.006045525
0.000780945,0.006051196
0.000784144,0.006056866
0.000787352,0.006062535
0.000790567,0.006068203
0.00079379,0.006073871
0.000797022,0.006079537
0.000800261,0.006085202
0.000803508,0.006090867
0.000806764,0.00609653
0.000810027,0.006102193
0.000813299,0.006107855
0.000816579,0.006113516
0.000819866,0.006119177
0.000823162,0.006124836
0.000826466,0.006130495
0.000829778,0.006136154
0.000833098,0.006141811
0.000836426,0.006147468
0.000839762,0.006153124
0.000843106,0.00615878
0.000846459,0.006164435
0.000849819,0.00617009
0.000853188,0.006175744
0.000856565,0.006181398
0.00085995,0.006187051
0.000863343,0.006192704
0.000866744,0.006198356
0.000870153,0.006204008
0.000873571,0.00620966
0.000876996,0.006215311
0.00088043,0.006220962
0.000883872,0.006226613
0.000887322,0.006232263
0.00089078,0.006237913
0.000894246,0.006243563
0.000897721,0.006249213
0.000901204,0.006254862
0.000904694,0.006260512
0.000908194,0.006266161
0.000911701,0.00627181
0.000915216,0.006277459
0.00091874,0.006283109
0.000922272,0.006288758
0.000925812,0.006294407
0.00092936,0.006300056
0.000932917,0.006305705
0.000936481,0.006311354
0.000940054,0.006317004
0.000943635,0.006322653
0.000947225,0.006328303
0.000950822,0.006333953
0.000954428,0.006339603
0.000958042,0.006345253
0.000961665,0.006350903
0.000965295,0.006356554
0.000968934,0.006362205
0.000972581,0.006367857
0.000976237,0.006373508
0.000979901,0.00637916
0.000983572,0.006384813
0.000987253,0.006390466
0.000990941,0.006396119
0.000994638,0.006401773
0.000998343,0.006407427
0.001002056,0.006413082
0.001005778,0.006418737
0.001009508,0.006424393
0.001013246,0.00643005
0.001016993,0.006435707
0.001020748,0.006441364
0.001024511,0.006447023
0.001028282,0.006452682
0.001032062,0.006458341
0.00103585,0.006464002
0.001039647,0.006469663
0.001043452,0.006475325
0.001047265,0.006480988
0.001051087,0.006486651
0.001054916,0.006492316
0.001058755,0.006497981
0.001062601,0.006503647
0.001066456,0.006509314
0.001070319,0.006514982
0.001074191,0.006520651
0.001078071,0.006526321
0.00108196,0.006531992
0.001085856,0.006537664
0.001089762,0.006543337
0.001093675,0.006549011
0.001097597,0.006554686
0.001101527,0.006560362
0.001105466,0.006566039
0.001109413,0.006571718
0.001113369,0.006577397
0.001117333,0.006583078
0.001121305,0.006588761
0.001125286,0.006594444
0.001129275,0.006600129
0.001133273,0.006605815
0.001137279,0.006611502
0.001141293,0.00661719
0.001145316,0.00662288
0.001149347,0.006628572
0.001153387,0.006634264
0.001157435,0.006639959
0.001161492,0.006645654
0.001165557,0.006651351
0.001169631,0.00665705
0.001173713,0.00666275
0.001177803,0.006668452
0.001181902,0.006674155
0.00118601,0.00667986
0.001190126,0.006685566
0.00119425,0.006691274
0.001198383,0.006696984
0.001202524,0.006702696
0.001206674,0.006708409
0.001210832,0.006714124
0.001214999,0.00671984
0.001219174,0.006725558
0.001223358,0.006731279
0.00122755,0.006737
0.001231751,0.006742724
0.00123596,0.00674845
0.001240178,0.006754177
0.001244404,0.006759907
0.001248639,0.006765638
0.001252883,0.006771371
0.001257135,0.006777106
0.001261395,0.006782843
0.001265664,0.006788583
0.001269941,0.006794324
0.001274227,0.006800067
0.001278522,0.006805812
0.001282825,0.00681156
0.001287137,0.006817309
0.001291457,0.006823061
0.001295786,0.006828815
0.001300123,0.00683457
0.001304469,0.006840329
0.001308823,0.006846089
0.001313186,0.006851852
0.001317558,0.006857616
0.001321938,0.006863384
0.001326327,0.006869153
0.001330724,0.006874925
0.00133513,0.006880699
0.001339544,0.006886475
0.001343967,0.006892254
0.001348399,0.006898036
0.001352839,0.006903819
0.001357288,0.006909605
0.001361745,0.006915394
0.001366211,0.006921185
0.001370686,0.006926979
0.001375169,0.006932775
0.001379661,0.006938574
0.001384162,0.006944375
0.001388671,0.006950179
0.001393188,0.006955986
0.001397715,0.006961795
0.00140225,0.006967606
0.001406793,0.006973421
0.001411345,0.006979238
0.001415906,0.006985058
0.001420476,0.006990881
0.001425054,0.006996706
0.001429641,0.007002534
0.001434236,0.007008365
0.00143884,0.007014199
0.001443453,0.007020036
0.001448074,0.007025875
0.001452704,0.007031718
0.001457343,0.007037563
0.00146199,0.007043411
0.001466646,0.007049263
0.001471311,0.007055117
0.001475984,0.007060974
0.001480666,0.007066834
0.001485357,0.007072697
0.001490056,0.007078564
0.001494764,0.007084433
0.001499481,0.007090305
0.001504207,0.007096181
0.001508941,0.007102059
0.001513684,0.007107941
0.001518435,0.007113826
0.001523195,0.007119714
0.001527964,0.007125606
0.001532742,0.0071315
0.001537528,0.007137398
0.001542323,0.007143299
0.001547127,0.007149203
0.001551939,0.007155111
0.00155676,0.007161022
0.00156159,0.007166936
0.001566429,0.007172854
0.001571276,0.007178775
0.001576132,0.0071847
0.001580997,0.007190628
0.001585871,0.007196559
0.001590753,0.007202494
0.001595644,0.007208432
0.001600544,0.007214374
0.001605452,0.007220319
0.001610369,0.007226268
0.001615295,0.007232221
0.00162023,0.007238177
0.001625173,0.007244136
0.001630126,0.0072501
0.001635087,0.007256066
0.001640056,0.007262037
0.001645035,0.007268011
0.001650022,0.007273989
0.001655018,0.007279971
0.001660023,0.007285956
0.001665036,0.007291945
0.001670059,0.007297938
0.00167509,0.007303935
0.00168013,0.007309935
0.001685178,0.00731594
0.001690236,0.007321948
0.001695302,0.00732796
0.001700377,0.007333976
0.001705461,0.007339996
0.001710553,0.00734602
0.001715655,0.007352047
0.001720765,0.007358079
0.001725884,0.007364115
0.001731011,0.007370154
0.001736148,0.007376198
0.001741293,0.007382246
0.001746448,0.007388298
0.001751611,0.007394353
0.001756782,0.007400413
0.001761963,0.007406477
0.001767152,0.007412546
0.001772351,0.007418618
0.001777558,0.007424695
0.001782773,0.007430775
0.001787998,0.00743686
0.001793232,0.007442949
0.001798474,0.007449043
0.001803725,0.00745514
0.001808985,0.007461242
0.001814254,0.007467349
0.001819532,0.007473459
0.001824818,0.007479574
0.001830114,0.007485693
0.001835418,0.007491817
0.001840731,0.007497945
0.001846053,0.007504077
0.001851383,0.007510214
0.001856723,0.007516355
0.001862071,0.007522501
0.001867429,0.007528651
0.001872795,0.007534806
0.00187817,0.007540965
0.001883554,0.007547129
0.001888946,0.007553297
0.001894348,0.00755947
0.001899758,0.007565648
0.001905178,0.00757183
0.001910606,0.007578016
0.001916043,0.007584208
0.001921489,0.007590404
0.001926943,0.007596604
0.001932407,0.00760281
0.00193788,0.00760902
0.001943361,0.007615235
0.001948851,0.007621454
0.001954351,0.007627678
0.001959859,0.007633908
0.001965376,0.007640142
0.001970901,0.00764638
0.001976436,0.007652624
0.00198198,0.007658872
0.001987532,0.007665126
0.001993094,0.007671384
0.001998664,0.007677647
0.002004243,0.007683915
0.002009831,0.007690188
0.002015428,0.007696466
0.002021034,0.007702749
0.002026649,0.007709036
0.002032273,0.007715329
0.002037905,0.007721627
0.002043547,0.00772793
0.002049197,0.007734238
0.002054857,0.007740551
0.002060525,0.007746869
0.002066202,0.007753193
0.002071888,0.007759521
0.002077583,0.007765855
0.002083287,0.007772194
0.002089,0.007778537
0.002094722,0.007784887
0.002100453,0.007791241
0.002106193,0.007797601
0.002111941,0.007803965
0.002117699,0.007810335
0.002123465,0.007816711
0.002129241,0.007823092
0.002135025,0.007829478
0.002140818,0.007835869
0.00214662,0.007842266
0.002152431,0.007848668
0.002158252,0.007855075
0.002164081,0.007861488
0.002169919,0.007867906
