nut1 50,nut1 100,nut1 50,nut1 100
0,0,0.001351104,0.000683547
0,0,0.001351161,0.000684275
0,0,0.001351227,0.000685018
0,0,0.001351303,0.000685775
0,0,1.35E-03,6.87E-04
0,0,1.35E-03,6.87E-04
0,0,1.35E-03,6.88E-04
0,0,1.35E-03,6.89E-04
0,0,1.35E-03,6.90E-04
0,0,1.35E-03,6.91E-04
0,0,1.35E-03,6.91E-04
0,0,1.35E-03,6.92E-04
0,0,1.35E-03,6.93E-04
0,0,1.35E-03,6.94E-04
0,0,1.35E-03,6.95E-04
0,0,1.35E-03,6.96E-04
0,0,1.35E-03,6.97E-04
0,0,1.35E-03,6.98E-04
0,0,0.001353606,0.000698896
0,0,0.001353837,0.000699888
0,0,0.001354078,0.000700894
0,0,0.001354328,0.000701914
0,0,0.001354589,0.000702949
0,0,0.001354859,0.000703998
0,0,0.001355139,0.000705062
0,0,0.001355428,0.00070614
0,0,0.001355728,0.000707232
0,0,0.001356037,0.000708339
0,0,0.001356356,0.000709461
0,0,0.001356684,0.000710596
0,0,0.001357023,0.000711746
0,0,0.001357371,0.000712911
0,0,0.001357729,0.000714089
0,0,0.001358096,0.000715282
0,0,0.001358474,0.00071649
0,0,0.001358861,0.000717711
0,0,0.001359258,0.000718947
0,0,0.001359665,0.000720197
0,0,0.001360081,0.000721461
0,0,0.001360507,0.00072274
0,0,0.001360943,0.000724032
0,0,0.001361389,0.000725339
0,0,0.001361845,0.00072666
0,0,0.00136231,0.000727995
0,0,0.001362786,0.000729345
0,0,0.001363271,0.000730708
0,0,0.001363766,0.000732086
0,0,0.00136427,0.000733477
0,0,0.001364785,0.000734883
0,0,0.001365309,0.000736303
0,0,0.001365843,0.000737737
0,0,0.001366387,0.000739185
0,0,0.001366941,0.000740646
0,0,0.001367504,0.000742122
0,0,0.001368078,0.000743612
0,0,0.001368661,0.000745116
0,0,0.001369254,0.000746634
0,0,0.001369857,0.000748166
0,0,0.001370469,0.000749711
0,0,0.001371092,0.000751271
0,0,0.001371724,0.000752845
0,0,0.001372367,0.000754432
0,0,0.001373019,0.000756033
0,0,0.00137368,0.000757648
0,0,0.001374352,0.000759277
0,0,0.001375034,0.00076092
0,0,0.001375725,0.000762577
0,0,0.001376427,0.000764247
0,0,0.001377138,0.000765932
0,0,0.001377859,0.00076763
0,0,0.00137859,0.000769341
0,0,0.00137933,0.000771067
0,0,0.001380081,0.000772806
