rad6 50,rad6 100
-0.002426083,0.003513963
-0.002430444,0.003519007
-0.002434773,0.003524065
-0.00243907,0.003529138
-0.002443336,0.003534224
-0.00244757,0.003539325
-0.002451772,0.00354444
-0.002455943,0.003549568
-0.002460082,0.003554711
-0.002464189,0.003559868
-0.002468265,0.003565039
-0.002472309,0.003570225
-0.002476322,0.003575424
-0.002480303,0.003580637
-0.002484253,0.003585865
-0.002488172,0.003591106
-0.002492059,0.003596362
-0.002495915,0.003601631
-0.002499739,0.003606915
-0.002503532,0.003612213
-0.002507295,0.003617524
-0.002511025,0.00362285
-0.002514725,0.00362819
-0.002518394,0.003633544
-0.002522031,0.003638912
-0.002525637,0.003644293
-0.002529213,0.003649689
-0.002532757,0.003655099
-0.00253627,0.003660523
-0.002539753,0.003665961
-0.002543204,0.003671413
-0.002546624,0.003676879
-0.002550014,0.003682359
-0.002553373,0.003687853
-0.002556701,0.003693361
-0.002559998,0.003698883
-0.002563265,0.003704418
-0.002566501,0.003709968
-0.002569706,0.003715532
-0.002572881,0.00372111
-0.002576024,0.003726701
-0.002579138,0.003732307
-0.002582221,0.003737927
-0.002585273,0.00374356
-0.002588295,0.003749208
-0.002591286,0.003754869
-0.002594247,0.003760544
-0.002597178,0.003766234
-0.002600078,0.003771937
-0.002602948,0.003777654
-0.002605787,0.003783385
-0.002608597,0.00378913
-0.002611376,0.003794888
-0.002614125,0.003800661
-0.002616844,0.003806448
-0.002619532,0.003812248
-0.002622191,0.003818062
-0.002624819,0.003823891
-0.002627417,0.003829733
-0.002629986,0.003835589
-0.002632524,0.003841458
-0.002635033,0.003847342
-0.002637511,0.00385324
-0.00263996,0.003859151
-0.002642378,0.003865076
-0.002644767,0.003871015
-0.002647126,0.003876968
-0.002649456,0.003882935
-0.002651755,0.003888915
-0.002654025,0.003894909
-0.002656265,0.003900918
-0.002658476,0.00390694
-0.002660657,0.003912975
-0.002662808,0.003919025
-0.00266493,0.003925088
-0.002667023,0.003931165
-0.002669085,0.003937256
-0.002671119,0.003943361
-0.002673123,0.003949479
-0.002675097,0.003955611
-0.002677042,0.003961757
-0.002678958,0.003967917
-0.002680845,0.00397409
-0.002682702,0.003980278
-0.00268453,0.003986479
-0.002686329,0.003992693
-0.002688099,0.003998922
-0.002689839,0.004005164
-0.00269155,0.00401142
-0.002693233,0.004017689
-0.002694886,0.004023972
-0.00269651,0.004030269
-0.002698105,0.00403658
-0.002699671,0.004042904
-0.002701209,0.004049242
-0.002702717,0.004055594
-0.002704196,0.004061959
-0.002705647,0.004068338
-0.002707069,0.004074731
-0.002708462,0.004081138
-0.002709826,0.004087558
