med6 50,med6 100
0.001327898,-0.000841455
0.001336493,-0.000834287
0.001345058,-0.000827147
0.001353593,-0.000820037
0.001362099,-0.000812955
0.001370575,-0.000805901
0.001379021,-0.000798876
0.001387438,-0.00079188
0.001395826,-0.000784912
0.001404184,-0.000777972
0.001412513,-0.00077106
0.001420812,-0.000764176
0.001429083,-0.00075732
0.001437324,-0.000750491
0.001445537,-0.000743691
0.00145372,-0.000736918
0.001461875,-0.000730173
0.001470001,-0.000723456
0.001478098,-0.000716766
0.001486166,-0.000710103
0.001494206,-0.000703467
0.001502217,-0.000696859
0.0015102,-0.000690278
0.001518154,-0.000683723
0.00152608,-0.000677196
0.001533978,-0.000670696
0.001541848,-0.000664222
0.001549689,-0.000657775
0.001557503,-0.000651354
0.001565288,-0.00064496
0.001573046,-0.000638593
0.001580776,-0.000632252
0.001588478,-0.000625937
0.001596152,-0.000619648
0.001603799,-0.000613385
0.001611418,-0.000607149
0.001619009,-0.000600938
0.001626573,-0.000594753
0.00163411,-0.000588594
0.00164162,-0.00058246
0.001649102,-0.000576352
0.001656557,-0.00057027
0.001663985,-0.000564213
0.001671386,-0.000558181
0.00167876,-0.000552175
0.001686107,-0.000546194
0.001693427,-0.000540237
0.001700721,-0.000534306
0.001707988,-0.0005284
0.001715228,-0.000522519
0.001722441,-0.000516662
0.001729628,-0.00051083
0.001736789,-0.000505023
0.001743923,-0.00049924
0.001751032,-0.000493482
0.001758113,-0.000487748
0.001765169,-0.000482038
0.001772199,-0.000476353
0.001779202,-0.000470691
0.00178618,-0.000465054
0.001793131,-0.000459441
0.001800057,-0.000453851
0.001806957,-0.000448285
0.001813832,-0.000442743
0.001820681,-0.000437225
0.001827504,-0.00043173
0.001834302,-0.000426259
0.001841074,-0.000420811
0.001847821,-0.000415386
0.001854542,-0.000409985
0.001861239,-0.000404606
0.00186791,-0.000399251
0.001874556,-0.000393919
0.001881177,-0.00038861
0.001887773,-0.000383323
0.001894345,-0.00037806
0.001900891,-0.000372819
0.001907413,-0.0003676
0.00191391,-0.000362404
0.001920382,-0.000357231
0.00192683,-0.000352079
0.001933253,-0.000346951
0.001939652,-0.000341844
0.001946026,-0.000336759
0.001952376,-0.000331697
0.001958702,-0.000326656
0.001965004,-0.000321638
0.001971281,-0.000316641
0.001977535,-0.000311666
0.001983764,-0.000306712
0.00198997,-0.000301781
0.001996151,-0.00029687
0.002002309,-0.000291981
0.002008443,-0.000287114
0.002014554,-0.000282267
0.002020641,-0.000277442
0.002026704,-0.000272638
0.002032744,-0.000267855
0.002038761,-0.000263093
0.002044754,-0.000258352
0.002050724,-0.000253631
0.00205667,-0.000248932
0.002062594,-0.000244253
0.002068494,-0.000239594
0.002074371,-0.000234956
0.002080226,-0.000230339
0.002086057,-0.000225741
0.002091866,-0.000221165
0.002097652,-0.000216608
0.002103415,-0.000212071
0.002109156,-0.000207555
0.002114874,-0.000203058
0.002120569,-0.000198581
0.002126242,-0.000194124
0.002131893,-0.000189687
0.002137521,-0.000185269
0.002143127,-0.000180871
0.002148711,-0.000176493
0.002154273,-0.000172134
0.002159813,-0.000167794
0.00216533,-0.000163474
0.002170826,-0.000159173
0.0021763,-0.000154891
0.002181752,-0.000150628
0.002187182,-0.000146384
0.002192591,-0.000142159
0.002197978,-0.000137952
0.002203343,-0.000133765
0.002208687,-0.000129596
0.002214009,-0.000125446
0.00221931,-0.000121314
0.00222459,-0.000117201
0.002229849,-0.000113106
0.002235086,-0.000109029
0.002240302,-0.000104971
0.002245497,-0.000100931
0.002250671,-9.69E-05
0.002255824,-9.29E-05
0.002260957,-8.89E-05
0.002266068,-8.50E-05
0.002271159,-8.10E-05
0.002276229,-7.71E-05
0.002281278,-7.32E-05
0.002286307,-6.93E-05
0.002291315,-6.54E-05
0.002296303,-6.15E-05
0.00230127,-5.77E-05
0.002306217,-5.38E-05
0.002311144,-5.00E-05
0.002316051,-4.62E-05
0.002320937,-4.25E-05
0.002325804,-3.87E-05
0.00233065,-3.50E-05
0.002335477,-3.12E-05
0.002340283,-2.75E-05
0.00234507,-2.38E-05
0.002349837,-2.02E-05
0.002354584,-1.65E-05
0.002359312,-1.29E-05
0.00236402,-9.23E-06
0.002368708,-5.62E-06
0.002373377,-2.02E-06
0.002378027,1.55E-06
0.002382657,5.11E-06
0.002387268,8.66E-06
0.00239186,1.22E-05
0.002396433,1.57E-05
0.002400986,1.92E-05
0.002405521,2.27E-05
0.002410036,2.61E-05
0.002414533,2.96E-05
0.00241901,3.30E-05
0.002423469,3.64E-05
0.002427909,3.99E-05
0.002432331,4.32E-05
0.002436734,4.66E-05
0.002441118,5.00E-05
0.002445484,5.33E-05
0.002449831,5.66E-05
0.00245416,6.00E-05
0.00245847,6.33E-05
0.002462763,6.65E-05
0.002467037,6.98E-05
0.002471293,7.31E-05
0.002475531,7.63E-05
0.002479751,7.95E-05
0.002483953,8.27E-05
0.002488137,8.59E-05
0.002492303,8.91E-05
0.002496452,9.23E-05
0.002500582,9.54E-05
0.002504695,9.86E-05
0.002508791,0.00010168
0.002512869,0.000104789
0.002516929,0.000107885
0.002520972,0.000110967
0.002524998,0.000114034
0.002529006,0.000117088
0.002532997,0.000120129
