bur2 50,bur2 100
0.007253386,0.001318931
0.00726511,0.001321397
0.007276846,0.001323871
0.007288592,0.001326351
0.00730035,0.001328838
0.00731212,0.001331333
0.007323901,0.001333834
0.007335693,0.001336342
0.007347496,0.001338857
0.00735931,0.00134138
0.007371136,0.001343909
0.007382973,0.001346445
0.007394821,0.001348988
0.00740668,0.001351538
0.007418551,0.001354096
0.007430433,0.00135666
0.007442326,0.001359231
0.00745423,0.001361809
0.007466145,0.001364395
0.007478071,0.001366987
0.007490009,0.001369586
0.007501957,0.001372193
0.007513917,0.001374806
0.007525887,0.001377427
0.007537869,0.001380054
0.007549862,0.001382689
0.007561866,0.00138533
0.007573881,0.001387979
0.007585906,0.001390635
0.007597943,0.001393297
0.007609991,0.001395967
0.00762205,0.001398644
0.00763412,0.001401328
0.0076462,0.001404019
0.007658292,0.001406717
0.007670395,0.001409423
0.007682508,0.001412135
0.007694633,0.001414854
0.007706768,0.001417581
0.007718914,0.001420315
0.007731071,0.001423055
0.007743239,0.001425803
0.007755417,0.001428558
0.007767607,0.00143132
0.007779807,0.00143409
0.007792018,0.001436866
0.00780424,0.001439649
0.007816473,0.00144244
0.007828716,0.001445238
0.007840971,0.001448043
0.007853235,0.001450855
0.007865511,0.001453674
0.007877797,0.0014565
0.007890094,0.001459333
0.007902402,0.001462174
0.007914721,0.001465022
0.00792705,0.001467877
0.007939389,0.001470739
0.00795174,0.001473608
0.007964101,0.001476484
0.007976472,0.001479368
0.007988854,0.001482259
0.008001247,0.001485157
0.00801365,0.001488062
0.008026064,0.001490974
0.008038489,0.001493894
0.008050924,0.001496821
0.008063369,0.001499754
0.008075825,0.001502696
0.008088292,0.001505644
0.008100769,0.001508599
0.008113256,0.001511562
0.008125754,0.001514532
0.008138263,0.001517509
0.008150781,0.001520494
0.008163311,0.001523485
0.00817585,0.001526484
0.0081884,0.00152949
0.008200961,0.001532504
0.008213532,0.001535524
0.008226113,0.001538552
0.008238705,0.001541587
0.008251306,0.001544629
0.008263919,0.001547679
0.008276541,0.001550736
0.008289174,0.0015538
0.008301817,0.001556871
0.008314471,0.00155995
0.008327134,0.001563035
0.008339808,0.001566129
0.008352493,0.001569229
0.008365187,0.001572337
0.008377892,0.001575452
0.008390607,0.001578574
0.008403332,0.001581703
0.008416067,0.00158484
0.008428812,0.001587984
0.008441568,0.001591135
0.008454334,0.001594294
0.008467109,0.00159746
0.008479895,0.001600633
0.008492692,0.001603814
0.008505498,0.001607002
0.008518314,0.001610197
0.00853114,0.001613399
0.008543977,0.001616609
0.008556823,0.001619826
0.00856968,0.001623051
0.008582546,0.001626282
0.008595423,0.001629522
0.00860831,0.001632768
0.008621206,0.001636022
0.008634113,0.001639283
0.008647029,0.001642551
0.008659956,0.001645827
0.008672892,0.00164911
0.008685839,0.001652401
0.008698795,0.001655698
0.008711761,0.001659003
0.008724737,0.001662316
0.008737723,0.001665636
0.008750719,0.001668963
0.008763725,0.001672298
0.00877674,0.00167564
0.008789766,0.001678989
0.008802801,0.001682345
0.008815846,0.00168571
0.008828901,0.001689081
0.008841966,0.00169246
0.00885504,0.001695846
0.008868124,0.001699239
0.008881218,0.00170264
0.008894322,0.001706049
0.008907436,0.001709464
0.008920559,0.001712888
0.008933692,0.001716318
0.008946834,0.001719756
0.008959986,0.001723201
0.008973148,0.001726654
0.00898632,0.001730114
0.008999501,0.001733582
0.009012692,0.001737056
0.009025893,0.001740539
0.009039103,0.001744029
0.009052323,0.001747526
0.009065552,0.00175103
0.009078791,0.001754542
0.00909204,0.001758062
0.009105298,0.001761589
0.009118565,0.001765123
0.009131843,0.001768665
0.009145129,0.001772214
0.009158426,0.00177577
0.009171731,0.001779334
0.009185046,0.001782906
0.009198371,0.001786485
0.009211705,0.001790071
0.009225049,0.001793665
0.009238402,0.001797266
0.009251765,0.001800875
0.009265137,0.001804491
0.009278518,0.001808114
0.009291909,0.001811745
0.009305309,0.001815384
0.009318718,0.00181903
0.009332137,0.001822683
0.009345565,0.001826344
0.009359003,0.001830013
0.00937245,0.001833688
0.009385906,0.001837372
0.009399372,0.001841063
0.009412847,0.001844761
0.009426331,0.001848467
0.009439824,0.00185218
0.009453327,0.001855901
0.009466839,0.001859629
0.00948036,0.001863364
0.00949389,0.001867108
0.00950743,0.001870858
0.009520979,0.001874616
0.009534537,0.001878382
0.009548104,0.001882155
0.00956168,0.001885936
