btt 50,btt 100
0.002639214,0.000989756
0.002642977,0.00099358
0.002646745,0.000997413
0.002650517,0.001001254
0.002654292,0.001005104
0.002658071,0.001008962
0.002661855,0.001012828
0.002665642,0.001016704
0.002669433,0.001020587
0.002673228,0.001024479
0.002677027,0.00102838
0.00268083,0.001032288
0.002684637,0.001036206
0.002688448,0.001040132
0.002692263,0.001044066
0.002696082,0.001048009
0.002699906,0.00105196
0.002703733,0.00105592
0.002707564,0.001059888
0.002711399,0.001063865
0.002715238,0.00106785
0.002719081,0.001071844
0.002722929,0.001075846
0.00272678,0.001079857
0.002730635,0.001083876
0.002734495,0.001087904
0.002738359,0.00109194
0.002742226,0.001095985
0.002746098,0.001100038
0.002749974,0.001104099
0.002753855,0.00110817
0.002757739,0.001112248
0.002761627,0.001116336
0.00276552,0.001120431
0.002769417,0.001124535
0.002773318,0.001128648
0.002777223,0.00113277
0.002781133,0.001136899
0.002785046,0.001141038
0.002788964,0.001145184
0.002792886,0.00114934
0.002796812,0.001153504
0.002800743,0.001157676
0.002804678,0.001161857
0.002808617,0.001166047
0.00281256,0.001170245
0.002816508,0.001174451
0.00282046,0.001178666
0.002824416,0.00118289
0.002828376,0.001187122
0.002832341,0.001191363
0.00283631,0.001195612
0.002840284,0.00119987
0.002844262,0.001204136
0.002848244,0.001208411
0.00285223,0.001212694
0.002856221,0.001216986
0.002860216,0.001221287
0.002864216,0.001225596
0.00286822,0.001229914
0.002872228,0.00123424
0.002876241,0.001238575
0.002880258,0.001242918
0.00288428,0.00124727
0.002888306,0.00125163
0.002892337,0.001256
0.002896372,0.001260377
0.002900411,0.001264763
0.002904455,0.001269158
0.002908503,0.001273561
0.002912556,0.001277973
0.002916613,0.001282394
0.002920675,0.001286823
0.002924741,0.001291261
0.002928812,0.001295707
0.002932888,0.001300162
0.002936968,0.001304625
0.002941052,0.001309097
0.002945141,0.001313578
0.002949234,0.001318067
0.002953333,0.001322564
0.002957435,0.001327071
0.002961542,0.001331586
0.002965654,0.001336109
0.002969771,0.001340641
0.002973892,0.001345182
0.002978017,0.001349732
0.002982148,0.001354289
0.002986282,0.001358856
0.002990422,0.001363431
0.002994566,0.001368015
0.002998715,0.001372607
0.003002868,0.001377208
0.003007026,0.001381818
0.003011189,0.001386436
0.003015357,0.001391063
0.003019529,0.001395698
0.003023706,0.001400342
0.003027887,0.001404995
0.003032073,0.001409656
0.003036264,0.001414326
0.00304046,0.001419004
0.003044661,0.001423692
0.003048866,0.001428387
0.003053076,0.001433092
0.00305729,0.001437805
0.00306151,0.001442526
0.003065734,0.001447257
0.003069963,0.001451996
0.003074197,0.001456743
0.003078436,0.001461499
0.003082679,0.001466264
0.003086927,0.001471037
0.00309118,0.00147582
0.003095438,0.00148061
0.003099701,0.00148541
0.003103969,0.001490218
0.003108241,0.001495034
0.003112518,0.001499859
0.0031168,0.001504693
0.003121087,0.001509536
0.003125379,0.001514387
0.003129676,0.001519247
0.003133978,0.001524115
0.003138284,0.001528993
0.003142596,0.001533878
0.003146912,0.001538773
0.003151234,0.001543676
0.00315556,0.001548588
0.003159891,0.001553508
0.003164227,0.001558437
0.003168568,0.001563375
0.003172914,0.001568321
0.003177265,0.001573276
0.003181621,0.00157824
0.003185982,0.001583213
0.003190348,0.001588194
0.003194719,0.001593183
0.003199095,0.001598182
0.003203476,0.001603189
0.003207862,0.001608204
0.003212253,0.001613229
0.00321665,0.001618262
0.003221051,0.001623304
0.003225457,0.001628354
0.003229868,0.001633413
0.003234284,0.001638481
0.003238706,0.001643557
0.003243132,0.001648642
0.003247564,0.001653736
0.003252,0.001658838
0.003256442,0.00166395
