nut1 50,nut1 100
0.004487873,0.004762079
0.004495825,0.00477065
0.004503786,0.004779227
0.004511758,0.00478781
0.004519739,0.004796399
0.004527729,0.004804995
0.00453573,0.004813597
0.004543741,0.004822205
0.004551761,0.00483082
0.004559791,0.004839441
0.00456783,0.004848068
0.00457588,0.004856701
0.004583939,0.004865341
0.004592008,0.004873986
0.004600087,0.004882638
0.004608176,0.004891297
0.004616274,0.004899961
0.004624382,0.004908632
0.0046325,0.004917308
0.004640628,0.004925991
0.004648765,0.004934681
0.004656912,0.004943376
0.004665069,0.004952077
0.004673236,0.004960785
0.004681413,0.004969499
0.004689599,0.004978219
0.004697795,0.004986945
0.004706,0.004995677
0.004714216,0.005004416
0.004722441,0.00501316
0.004730676,0.005021911
0.00473892,0.005030667
0.004747175,0.00503943
0.004755439,0.005048199
0.004763713,0.005056974
0.004771996,0.005065755
0.004780289,0.005074542
0.004788592,0.005083335
0.004796905,0.005092134
0.004805228,0.00510094
0.00481356,0.005109751
0.004821902,0.005118568
0.004830253,0.005127392
0.004838615,0.005136221
0.004846986,0.005145057
0.004855366,0.005153898
0.004863757,0.005162746
0.004872157,0.005171599
0.004880567,0.005180459
0.004888986,0.005189324
0.004897415,0.005198195
0.004905854,0.005207073
0.004914303,0.005215956
0.004922761,0.005224846
0.004931229,0.005233741
0.004939707,0.005242642
0.004948194,0.005251549
0.004956691,0.005260462
0.004965198,0.005269381
0.004973715,0.005278306
0.004982241,0.005287237
0.004990776,0.005296174
0.004999322,0.005305117
0.005007877,0.005314065
0.005016442,0.00532302
0.005025016,0.00533198
0.0050336,0.005340947
0.005042194,0.005349919
0.005050798,0.005358897
0.005059411,0.00536788
0.005068033,0.00537687
0.005076666,0.005385866
0.005085308,0.005394867
0.00509396,0.005403874
0.005102621,0.005412887
0.005111292,0.005421906
0.005119973,0.005430931
0.005128663,0.005439962
0.005137363,0.005448998
0.005146072,0.00545804
0.005154792,0.005467088
0.005163521,0.005476142
0.005172259,0.005485201
0.005181007,0.005494266
0.005189765,0.005503337
0.005198532,0.005512414
0.005207309,0.005521497
0.005216096,0.005530585
0.005224892,0.005539679
0.005233698,0.005548779
0.005242513,0.005557884
0.005251338,0.005566995
0.005260173,0.005576112
0.005269017,0.005585235
0.005277871,0.005594363
0.005286735,0.005603497
0.005295608,0.005612637
0.00530449,0.005621782
0.005313383,0.005630933
0.005322285,0.00564009
0.005331196,0.005649252
0.005340117,0.005658421
0.005349048,0.005667594
0.005357988,0.005676774
0.005366938,0.005685959
0.005375897,0.005695149
0.005384866,0.005704346
0.005393845,0.005713548
0.005402833,0.005722755
0.00541183,0.005731968
0.005420838,0.005741187
0.005429855,0.005750412
0.005438881,0.005759641
0.005447917,0.005768877
0.005456962,0.005778118
0.005466018,0.005787365
0.005475082,0.005796617
0.005484156,0.005805875
0.00549324,0.005815139
0.005502333,0.005824408
0.005511436,0.005833682
0.005520549,0.005842962
0.005529671,0.005852248
0.005538802,0.005861539
0.005547943,0.005870836
0.005557094,0.005880138
0.005566254,0.005889446
0.005575424,0.005898759
0.005584603,0.005908077
0.005593791,0.005917402
0.00560299,0.005926731
0.005612197,0.005936067
0.005621415,0.005945407
0.005630641,0.005954753
0.005639878,0.005964105
0.005649123,0.005973462
0.005658379,0.005982825
0.005667644,0.005992193
0.005676918,0.006001566
0.005686202,0.006010945
0.005695495,0.006020329
0.005704798,0.006029719
0.00571411,0.006039114
0.005723432,0.006048515
0.005732764,0.006057921
0.005742104,0.006067332
0.005751455,0.006076749
0.005760815,0.006086171
0.005770184,0.006095598
